FECHA 2019-01-11 12:28:47.114000 | PLC1: 0.0000 | BR20: 0.5060 | PLC2: 0.0010 | Mqtt: 0.0060 | TOTAL: 0.8120
FECHA 2019-01-11 12:28:48.028000 | PLC1: 0.0000 | BR20: 0.5370 | PLC2: 0.0000 | Mqtt: 0.0060 | TOTAL: 0.8510
FECHA 2019-01-11 12:28:48.981000 | PLC1: 0.0000 | BR20: 0.5020 | PLC2: 0.0000 | Mqtt: 0.0050 | TOTAL: 0.8410
FECHA 2019-01-11 12:28:49.924000 | PLC1: 0.0000 | BR20: 0.5420 | PLC2: 0.0000 | Mqtt: 0.0050 | TOTAL: 0.9210
FECHA 2019-01-11 12:28:50.947000 | PLC1: 0.0000 | BR20: 0.4960 | PLC2: 0.0000 | Mqtt: 0.0110 | TOTAL: 0.7810
FECHA 2019-01-11 12:28:51.829000 | PLC1: 0.0000 | BR20: 0.5030 | PLC2: 0.0000 | Mqtt: 0.0230 | TOTAL: 0.8340
FECHA 2019-01-11 12:28:52.765000 | PLC1: 0.0000 | BR20: 0.5220 | PLC2: 0.0000 | Mqtt: 0.0080 | TOTAL: 0.8160
FECHA 2019-01-11 12:28:53.683000 | PLC1: 0.0000 | BR20: 0.5120 | PLC2: 0.0000 | Mqtt: 0.0100 | TOTAL: 0.8100
FECHA 2019-01-11 12:28:54.594000 | PLC1: 0.0000 | BR20: 0.5120 | PLC2: 0.0000 | Mqtt: 0.0100 | TOTAL: 0.8590
FECHA 2019-01-11 12:28:55.554000 | PLC1: 0.0000 | BR20: 0.5300 | PLC2: 0.0000 | Mqtt: 0.0060 | TOTAL: 0.8140
FECHA 2019-01-11 12:28:56.470000 | PLC1: 0.0000 | BR20: 0.4910 | PLC2: 0.0000 | Mqtt: 0.0080 | TOTAL: 0.8110
FECHA 2019-01-11 12:28:57.382000 | PLC1: 0.0000 | BR20: 0.5400 | PLC2: 0.0000 | Mqtt: 0.0200 | TOTAL: 0.8660
FECHA 2019-01-11 12:28:58.348000 | PLC1: 0.0000 | BR20: 0.5290 | PLC2: 0.0000 | Mqtt: 0.0060 | TOTAL: 0.8940
FECHA 2019-01-11 12:28:59.344000 | PLC1: 0.0000 | BR20: 0.5000 | PLC2: 0.0000 | Mqtt: 0.0070 | TOTAL: 0.8390
FECHA 2019-01-11 12:29:00.284000 | PLC1: 0.0000 | BR20: 0.5440 | PLC2: 0.0000 | Mqtt: 0.0150 | TOTAL: 0.9820
